timestamp,download_bytes,upload_bytes,download_speed,upload_speed,active_app,active_connections
2025-02-16 12:57:27,104105914,10268377,88.0,54.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:28,104105914,10268377,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:29,104106229,10272743,315.0,4366.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:30,104106229,10272743,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:31,104106605,10279072,376.0,6329.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:32,104106605,10279072,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:33,104106986,10285416,381.0,6344.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:34,104107028,10285458,42.0,42.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:35,104107028,10285458,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:36,104107728,10290088,700.0,4630.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:37,104112431,10298228,4703.0,8140.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:38,104113538,10302721,1107.0,4493.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:39,104113538,10302721,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:40,104113799,10307052,261.0,4331.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:41,104113799,10307052,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:43,104114109,10311418,310.0,4366.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:44,104114109,10311418,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:45,104114459,10315986,350.0,4568.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:46,104121038,10321262,6579.0,5276.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:47,104142548,10378737,21510.0,57475.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:48,104143945,10382670,1397.0,3933.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:49,104211472,10442500,67527.0,59830.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:50,104213404,10442867,1932.0,367.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:51,104213665,10447198,261.0,4331.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:52,104241169,10448337,27504.0,1139.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:53,104241533,10457089,364.0,8752.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:54,104241533,10457089,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:55,104241843,10461459,310.0,4370.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:56,104241843,10461459,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:57,104242099,10465795,256.0,4336.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:58,104242099,10465795,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:57:59,104242585,10470833,486.0,5038.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:00,104242747,10470833,162.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:01,104242801,10478598,54.0,7765.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:02,104243538,10479682,737.0,1084.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:03,104249807,10482771,6269.0,3089.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:04,104256907,10496148,7100.0,13377.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:05,104258164,10496442,1257.0,294.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:06,104258479,10502787,315.0,6345.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:07,104258479,10502787,0.0,0.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:08,104258663,10502988,184.0,201.0,Code.exe,"msedge.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:09,104259930,10510123,1267.0,7135.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:10,104265100,10511946,5170.0,1823.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:11,104266637,10513153,1537.0,1207.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:12,104274192,10526153,7555.0,13000.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:13,104277112,10526369,2920.0,216.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:14,104277368,10530700,256.0,4331.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:15,104277701,10530972,333.0,272.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:16,104278051,10535392,350.0,4420.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:17,104278105,10535392,54.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:18,104278366,10539723,261.0,4331.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:19,104278366,10539723,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:20,104278622,10544054,256.0,4331.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:21,104278622,10544054,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:22,104278986,10550438,364.0,6384.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:23,104279153,10550558,167.0,120.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:24,104279153,10550558,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:25,104279409,10554889,256.0,4331.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:26,104279409,10554889,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:27,104279670,10559255,261.0,4366.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:28,104279724,10559255,54.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:29,104280034,10563694,310.0,4439.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:30,104280034,10563694,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:31,104280290,10568025,256.0,4331.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:32,104280332,10568067,42.0,42.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:33,104280646,10572433,314.0,4366.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:34,104280646,10572530,0.0,97.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:35,104281135,10576915,489.0,4385.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:36,104281135,10576915,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:37,104281516,10583314,381.0,6399.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:38,104281516,10583314,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:39,104281516,10583314,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:40,104281880,10589692,364.0,6378.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:41,104281880,10589692,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:42,104281880,10589692,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:43,104282190,10596035,310.0,6343.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:44,104282190,10596035,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:45,104282190,10596035,0.0,0.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
2025-02-16 12:58:46,104282505,10600456,315.0,4421.0,Code.exe,"msedge.exe,WhatsApp.exe,python.exe,OneDrive.exe,svchost.exe,Code.exe,Discord.exe"
